"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_002E","B03002_002M","B03002_003E","B03002_003M","B03002_004E","B03002_004M","B03002_005E","B03002_005M","B03002_006E","B03002_006M","B03002_007E","B03002_007M","B03002_008E","B03002_008M","B03002_009E","B03002_009M","B03002_010E","B03002_010M","B03002_011E","B03002_011M","B03002_012E","B03002_012M","B03002_013E","B03002_013M","B03002_014E","B03002_014M","B03002_015E","B03002_015M","B03002_016E","B03002_016M","B03002_017E","B03002_017M","B03002_018E","B03002_018M","B03002_019E","B03002_019M","B03002_020E","B03002_020M","B03002_021E","B03002_021M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Not Hispanic or Latino:","Margin of Error!!Total:!!Not Hispanic or Latino:","Estimate!!Total:!!Not Hispanic or Latino:!!White alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!White alone","Estimate!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Estimate!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Estimate!!Total:!!Not Hispanic or Latino:!!Asian alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Asian alone","Estimate!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Not Hispanic or Latino:!!Some other race alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Some other race alone","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Estimate!!Total:!!Hispanic or Latino:","Margin of Error!!Total:!!Hispanic or Latino:","Estimate!!Total:!!Hispanic or Latino:!!White alone","Margin of Error!!Total:!!Hispanic or Latino:!!White alone","Estimate!!Total:!!Hispanic or Latino:!!Black or African American alone","Margin of Error!!Total:!!Hispanic or Latino:!!Black or African American alone","Estimate!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Estimate!!Total:!!Hispanic or Latino:!!Asian alone","Margin of Error!!Total:!!Hispanic or Latino:!!Asian alone","Estimate!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Hispanic or Latino:!!Some other race alone","Margin of Error!!Total:!!Hispanic or Latino:!!Some other race alone","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races"
"1500000US060014308001","Block Group 1, Census Tract 4308, Alameda County, California","736","261","725","263","482","230","0","12","0","12","198","229","0","12","0","12","45","50","0","12","45","50","11","18","11","18","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"1500000US060014308002","Block Group 2, Census Tract 4308, Alameda County, California","569","238","492","234","234","151","14","23","39","62","205","213","0","12","0","12","0","12","0","12","0","12","77","73","41","40","0","12","0","12","0","12","0","12","17","29","19","30","0","12","19","30"
"1500000US060014308003","Block Group 3, Census Tract 4308, Alameda County, California","2404","526","2262","464","1411","404","17","28","0","12","623","413","60","50","0","12","151","82","0","12","151","82","142","233","142","233","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"1500000US060014308004","Block Group 4, Census Tract 4308, Alameda County, California","1573","405","1407","394","888","294","50","41","8","13","449","297","0","12","0","12","12","19","0","12","12","19","166","111","73","80","37","59","19","32","0","12","0","12","37","60","0","12","0","12","0","12"
"1500000US060014309001","Block Group 1, Census Tract 4309, Alameda County, California","2043","315","1745","326","1055","256","146","132","26","49","379","215","6","9","9","14","124","84","18","28","106","83","298","139","219","124","0","12","0","12","0","12","0","12","50","66","29","44","8","12","21","33"
"1500000US060014309002","Block Group 2, Census Tract 4309, Alameda County, California","3266","435","2449","432","1181","335","368","175","19","30","631","272","0","12","0","12","250","235","41","62","209","223","817","295","674","288","0","12","12","19","6","11","0","12","87","72","38","27","23","25","15","22"
"1500000US060014310001","Block Group 1, Census Tract 4310, Alameda County, California","1262","212","899","207","498","151","98","90","12","18","222","125","0","12","0","12","69","66","7","15","62","63","363","196","302","193","27","31","0","12","0","12","0","12","0","12","34","59","0","12","34","59"
"1500000US060014310002","Block Group 2, Census Tract 4310, Alameda County, California","1515","308","1338","281","516","168","60","72","8","12","632","273","0","12","0","12","122","72","0","12","122","72","177","133","140","131","0","12","0","12","11","17","0","12","26","41","0","12","0","12","0","12"
"1500000US060014311001","Block Group 1, Census Tract 4311, Alameda County, California","1462","267","1062","224","538","133","130","147","0","12","246","104","16","21","52","82","80","57","0","12","80","57","400","141","287","117","0","12","0","12","0","12","0","12","66","54","47","40","40","39","7","12"
"1500000US060014311002","Block Group 2, Census Tract 4311, Alameda County, California","2099","419","1418","369","598","148","477","270","5","8","187","114","17","20","0","12","134","138","0","12","134","138","681","250","612","257","0","12","0","12","10","16","0","12","40","64","19","30","0","12","19","30"
"1500000US060014312001","Block Group 1, Census Tract 4312, Alameda County, California","1453","516","1115","337","769","223","53","47","0","12","293","256","0","12","0","12","0","12","0","12","0","12","338","381","31","53","0","12","0","12","0","12","0","12","307","367","0","12","0","12","0","12"
"1500000US060014312002","Block Group 2, Census Tract 4312, Alameda County, California","1747","367","1294","332","455","205","398","183","0","12","123","90","0","12","0","12","318","229","0","12","318","229","453","240","442","238","0","12","0","12","0","12","0","12","10","17","1","4","1","4","0","12"
"1500000US060014312003","Block Group 3, Census Tract 4312, Alameda County, California","2374","491","1865","447","1362","360","142","169","0","12","361","245","0","12","0","12","0","12","0","12","0","12","509","270","334","250","40","66","0","12","0","12","0","12","73","98","62","80","56","69","6","48"
"1500000US060014321001","Block Group 1, Census Tract 4321, Alameda County, California","1396","258","1006","216","547","128","132","117","0","12","185","123","48","66","6","12","88","93","0","12","88","93","390","194","66","46","0","12","16","20","0","12","0","12","209","179","99","74","20","21","79","67"
